item,question_text,political,workplace,education
busiexecutive4,"On the whole, men make better business executives than women do.",0,1,0
businessleader3,"Here is a list of occupations and responsibilities that men or women can have. For each of them, please indicate whether you think that they should be more for men, more for women, or for either a man or a woman. Chief Executive",0,1,0
businessleader4,"Given equal competence, women should be equally represented in positions of leadership in companies.",0,1,0
businessopp5,The government should increase opportunities for women in business and industry,0,1,0
earn2,Do you approve or disapprove of a married woman earning money in business or industry if she has a husband capable of supporting her?,0,1,0
earn4,"If the husband has enough income, the wife should not have a job",0,1,0
earn5,I approve of a married woman earning money in business or industry even if she has a husband capable of supporting her,0,1,0
education4,A university education is more important for a boy than for a girl,0,0,1
education5,A university education is more important for a boy than a girl,0,0,1
emopoli2,Most men are better suited emotionally for politics than are most women.,1,0,0
equality5,Proposal: Strive towards a society with greater equality between women and men ,1,1,0
equaljob4,Men and women should have equal job opportunities and wages,0,1,0
equaljob5,Men and women should have equal job opportunities and wages,0,1,0
equalright2,"On a different subject, do you think women should have equal rights with men, or shouldnâ€™t they?",1,1,0
equalright4a,Insuring equal rights between men and women,1,1,0
equalright4b,"For each of the following things, how important is it to have this in our country? women have the same rights as men",1,1,0
equalwage4,Men and women should receive equal wages and salaries,0,1,0
equalwage4a,"In some circumstances, a woman is paid less than a male colleague for the same job. Do you think this is acceptable?",0,1,0
equalwork4,Men and women should have equal work opportunities.,0,1,0
govtact5,The government should increase opportunities for women in business and industry,0,1,0
homecountry2,Do you agree or disagree with this statement? Women should take care of running their homes and leave running the country up to men.,1,0,0
household4,The best thing for a woman to do is to take care of the house,1,1,0
income4,Both the husband and wife should contribute to household income,0,1,0
income5,Both the man and woman should contribute to the household income,0,1,0
islamclass4,It is acceptable in Islam for male and female university students to attend classes together,0,0,1
job3a,"When jobs are scarce, men should have more right to a job than women",0,1,0
job4,"When jobs are scarce, men should have more right to a job than women.",0,1,0
job4a,A married woman should not work if there are not enough jobs to go around and her husband is also in a position to support the family.,0,1,0
job5,"When jobs are scarce, men should have more right to a job than women",0,1,0
jobpref5,Women should be given preferential treatment when applying for jobs and promotions,0,1,0
jobs7,"Changing the subject again, some say that when there is not enough work, men should have a greater right to jobs than women.",0,1,0
office2,Why there are not enough women in public charges: That is not their place,1,0,0
poliequal3,"Which one of the following statements comes closest to your opinion about men and women as political leaders? Men generally make better political leaders than women; In general, women and men make equally good political leaders; Women generally make better political leaders than men",1,0,0
polileader3,"Here is a list of occupations and responsibilities that men or women can have. For each of them, please indicate whether you think that they should be more for men, more for women, or for either a man or a woman. Head of Government",1,0,0
polileader4,"On the whole, men make better political leaders than women do",1,0,0
polileader5,"On the whole, men make better political leaders than women do",1,0,0
politicianecon3,"If a politician is responsible for running the national economy, who would do a better job, a man, or a woman or does it not matter?",1,0,0
politics3,Attitudes towards Participation of Women in Politics,1,0,0
politics4,Women should not be involved in politics as much as men,1,0,0
politics4a,"It is sometimes said that ""politics should be left to men."" How far would you agree with this?",1,0,0
poliwork7,"Recently there has been a lot of talk about women's rights.  Some people feel that women should have an equal role with  men in running business, industry and government. Others feel that a women's place is in the home. Where would you place yourself on this scale or haven't you thought much about this?",1,1,0
president2,"If your party nominated a woman for President, would you vote for her if she were qualified for the job?",1,0,0
quota7,ballot quotas for women,1,0,0
return4,Women should return to their traditional roles in society ,1,1,0
righteq4,Equality between men and women is a fundamental right,1,1,0
rightvote5,A woman should have the right to vote and to be a member of parliament,1,0,0
samework4,There should be restrictions on men and women being employed in the same workplace.,0,1,0
supervise4,A man will lose face if he works under a female supervisor.,0,1,0
tradroles2,"What kind of marriage do you think is the more satisfying way of life, number 1 or number 2?   (SHOW CARD)",0,1,0
tradroles4,It is much better for everyone involved if the man is the achiever outside the home and the woman takes care of the home and family.,0,1,0
tradroles4a,It is preferable that a woman concentrates on the home and a man on his work                                                                                                                       (1997 LB: nps67b / 2000LB: p69st  / 2004 LB: p57st_a / 2009 LB: p67st_c),0,1,0
tradroles5,A husband's job is to earn money; a wife's job is to look after the home and family,0,1,0
unqualified4,"At the present time, in the European Union, women are less likely than men to hold positions of responsibility. Please tell me whether you agree or disagree with each of the following statements on this subject: Women do not always have the necessary qualities and skills to fill positions of responsibility",1,1,0
unqualpol4,Women do not have the necessary qualities and skills to fill positions of responsibility in politics,1,0,0
womenmp4,"In the European Union, women represent on average approximately one out of four national MPs. In general, do you think that this should be treated",1,0,0