survey,item,variable,values
aes1993,jobpref5,e6pref,c(5:1)
aes1993,govtact5,e6opp,c(5:1)
aes1996,jobpref5,e5pref,c(5:1)
aes1996,govtact5,e5opp,c(5:1)
aes1998,jobpref5,e6pref,c(5:1)
aes1998,govtact5,e6opp,c(5:1)
aes2001,jobpref5,e4pref,c(5:1)
aes2001,govtact5,e4opp,c(5:1)
aes2004,jobpref5,e4pref,c(5:1)
aes2004,govtact5,e4opp,c(5:1)
aes2010,jobpref5,e4pref,c(5:1)
aes2010,govtact5,e4opp,c(5:1)
amb_brazil2016,polileader4,vb50,c(1:4)
amb_canada2012,polileader4,vb50,c(1:4)
amb_combo,polileader4,vb50,c(1:4)
amb_combo,politicianecon3,vb52,"c(1,2,3)"
amb_combo,quota7,gen6,c(1:7)
amb_combo,jobs7,gen1,c(7:1)
amb_combo,voting3,w10,c(1:3)
amb_suriname2012,polileader4,vb50,c(1:4)
amb_trinidad2012,polileader4,vb50,c(1:4)
amb_us2012,polileader4,vb50,c(1:4)
amb_us2012,jobs7,gen1,c(7:1)
arabb1,education4,q5054,c(1:4)
arabb1,equaljob4,q5055,c(4:1)
arabb1,equalwage4,q5056,c(4:1)
arabb1,hijab4a,q5046,c(4:1)
arabb1,islamclass4,q5044,c(4:1)
arabb1,polileader4,q5053,c(1:4)
arabb2,divorce4a,q60114,c(4:1)
arabb2,divorce4b,q60116,c(1:4)
arabb2,education4,q60104,c(1:4)
arabb2,equalwork4,q60105,c(4:1)
arabb2,hijab4b,q6076,c(4:1)
arabb2,inheritance4,q60109,c(4:1)
arabb2,lawmarry4a,q60115,c(4:1)
arabb2,lawmarry4b,q60117,c(1:4)
arabb2,permitsec4,q60112,c(4:1)
arabb2,polileader4,q60103,c(1:4)
arabb2,rejmarry4,q60113,c(4:1)
arabb3,education4,q6014,c(1:4)
arabb3,equalright4a,q812a1,c(4:1)
arabb3,hijab4b,q6076,c(4:1)
arabb3,polileader4,q6013,c(1:4)
arabb4,decision4,q6018,c(1:4)
arabb4,education4,q6013,c(1:4)
arabb4,hijab4a,q6076,c(4:1)
arabb4,inheritance4,q6014,c(4:1)
arabb4,islamclass4,q6074,c(4:1)
ases2000,rolehome4,v0215,c(1:4)
asianb1,supervise4,q070,c(1:4)
asianb3,politics4,q139,c(1:4)
cdcee,household4,v232,c(1:4)
eb631,polileader4,v324,c(1:4)
evs_combo,childfull2,d019,"c(1,0)"
evs_combo,chrespon4,d064_01,c(4:1)
evs_combo,education4,d060,c(1:4)
evs_combo,fatherchild4,d064,c(4:1)
evs_combo,housewifefull4,d057,c(1:4)
evs_combo,income4,d058,c(4:1)
evs_combo,job3a,c001,"c(1,3,2)"
evs_combo,jobinde4,d063,c(4:1)
evs_combo,manchildren5,d020,c(1:5)
evs_combo,polileader4,d059,c(1:4)
evs_combo,preschoolwork4,d061,c(1:4)
evs_combo,sparent3,d023,"c(0,2,1)"
evs_combo,unmarried2,a124_40,"c(1,0)"
evs_combo,wantch4,d062,c(1:4)
evs_combo,work4,d056,c(4:1)
issp1985,businessopp5,v37,c(5:1)
issp1988,familywork5a,v6,c(1:5)
issp1988,tradroles5,v12,c(1:5)
issp1988,housewifefull5,v9,c(1:5)
issp1988,income5,v11,c(5:1)
issp1988,jobinde5,v10,c(5:1)
issp1988,preschoolwork5,v5,c(1:5)
issp1988,wantch5,v8,c(1:5)
issp1988,work3a,v17,c(3:1)
issp1988,work3b,v16,c(3:1)
issp1988,work3c,v15,c(3:1)
issp1988,work3d,v14,c(3:1)
issp1988,work5a,v4,c(5:1)
issp1991,familywork5a,v17,c(1:5)
issp1991,tradroles5,v16,c(1:5)
issp1994,familywork5a,v6,c(1:5)
issp1994,familywork5b,v14,c(5:1)
issp1994,tradroles5,v12,c(1:5)
issp1994,housewifefull5,v8,c(1:5)
issp1994,income5,v11,c(5:1)
issp1994,jobinde5,v9,c(5:1)
issp1994,maternity5,v42,c(5:1)
issp1994,msww5,v13,c(1:5)
issp1994,preschoolwork5,v5,c(1:5)
issp1994,wantch5,v7,c(1:5)
issp1994,work3a,v18,c(3:1)
issp1994,work3b,v17,c(3:1)
issp1994,work3c,v16,c(3:1)
issp1994,work3d,v15,c(3:1)
issp1994,work5a,v4,c(5:1)
issp1998,familywork5a,v13,c(1:5)
issp1998,tradroles5,v12,c(1:5)
issp2002,child5,v13,c(5:1)
issp2002,familywork5a,v6,c(1:5)
issp2002,tradroles5,v11,c(1:5)
issp2002,house5a,v12,c(5:1)
issp2002,housewifefull5,v8,c(1:5)
issp2002,income5,v10,c(5:1)
issp2002,jobinde5,v9,c(5:1)
issp2002,maternity5,v27,c(5:1)
issp2002,preschoolwork5,v5,c(1:5)
issp2002,wantch5,v7,c(1:5)
issp2002,work3a,v17,c(3:1)
issp2002,work3b,v16,c(3:1)
issp2002,work3c,v15,c(3:1)
issp2002,work3d,v14,c(3:1)
issp2002,work3f,v64,c(3:1)
issp2002,work5a,v4,c(5:1)
issp2008,tradroles5,v12,c(1:5)
lb1997,tradroles4a,nsp68b,c(1:4)
lb2000,tradroles4a,p69st,c(1:4)
lb2002,respect4,p24ub,c(4:1)
lb2004,tradroles4a,p57st_a,c(1:4)
lb2004,moneyprob4,p57n_c,c(1:4)
lb2004,polileader4,p57wvs_b,c(1:4)
lb2006,chrespon3,p88n,"c(1,3,2)"
lb2006,poliwork4,p89n,"c(4,1,2,3)"
lb2006,public2a,p87n_1,"c(1,0)"
lb2006,public2b,p87n_2,"c(1,0)"
lb2006,public2c,p87n_5,"c(1,0)"
lb2007,rubbed2,p70n_b,"c(1,2)"
lb2007,whisper2,p70n_a,"c(1,2)"
lb2009,tradroles4a,p67st_c,c(1:4)
lb2009,equality4,p15st_f,c(4:1)
lb2009,moneyprob4,p67st_e,c(1:4)
lb2009,polileader4,p67wvs_d,c(1:4)
pew2002,decveil4,q53b,c(4:1)
pew2002,samework4,q53c,c(1:4)
pew2005_11,scarves2,q20,"c(1,2)"
pew2005_6,scarves2,q46,"c(1,2)"
pew2006,imperial2,q64_allowempress,"c(2,1)"
pew2007,decveil4,q74a,c(4:1)
pew2007,poliequal3,q47,c(1:3)
pew2007,samework4,q74b,c(1:4)
pew2008,decveil4,q55aa,c(4:1)
pew2008,samework4,q55ab,c(1:4)
pew2010,decveil4,q69a,c(4:1)
pew2010,equalright2,q80,"c(2,1)"
pew2010,job4,q69c,c(1:4)
pew2010,lawseg2,q108a,"c(1,2)"
pew2010,qualiob4,q47,c(4:1)
pew2010,veilpub2a,q59,"c(1,2)"
pew2010,veilpub2b,q59fra,"c(1,2)"
pew2010,wifelife2,q93,"c(1,2)"
pew2012,equalright2,q85,"c(2,1)"
pew2012,job4,q86b,c(1:4)
pew2012,poliequal3,q101,"c(1,2,3)"
pew2015,equalright4b,q56c,c(4:1)
pew2016,equalright4b,q33c,c(4:1)
pew2017,organright4,humanrights_priority_gender,c(4:1)
pewrel2006_10nat,job4,q27a,c(1:4)
pewrel2006_10nat,obey4,q27c,c(1:4)
pewrel2006_10nat,pastors4,q27e,c(4:1)
pewrel2006_10nat,polileader4,q27b,c(1:4)
pewrel2006_10nat,work4,q27d,c(4:1)
pewrel2009_afr,decveil2,q59d,"c(2,1)"
pewrel2009_afr,job4,q11d,c(1:4)
pewrel2009_afr,religiouslead2,q59c,"c(2,1)"
pewrel2014_latam,catholic2,q72b,"c(2,1)"
pewrel2014_latam,job4,q19d,c(1:4)
pewrel2014_latam,protestant2,q65,"c(2,1)"
pewrel2015_ee,bearchild4,q16d,c(1:4)
pewrel2015_ee,catholic2,q75b,"c(2,1)"
pewrel2015_ee,job4,q16c,c(1:4)
pewrel2015_ee,orthodox2,q74b,"c(2,1)"
tcmeg2004,beat5,m710q,c(1:5)
tcmeg2004,busiexecutive5,m710m,c(1:5)
tcmeg2004,divorce5,m710p,c(5:1)
tcmeg2004,education5,m710d,c(1:5)
tcmeg2004,equaljob5,m710e,c(5:1)
tcmeg2004,equalwage5,m710f,c(5:1)
tcmeg2004,family5b,m710i,c(1:5)
tcmeg2004,girlhigh5,m710o,c(5:1)
tcmeg2004,housewifefull5,m710k,c(1:5)
tcmeg2004,income5,m710l,c(5:1)
tcmeg2004,inheritance5a,m710u,c(5:1)
tcmeg2004,inheritance5b,m710t,c(5:1)
tcmeg2004,judicial5,m710v,c(5:1)
tcmeg2004,lawmarry5,m710y,c(5:1)
tcmeg2004,lawveil5,m710r,c(1:5)
tcmeg2004,marrynon5,m710n,c(5:1)
tcmeg2004,marryright5,m710s,c(5:1)
tcmeg2004,permitsec5,m710x,c(5:1)
tcmeg2004,polileader5,m710c,c(1:5)
tcmeg2004,preprime5,m710a,c(5:1)
tcmeg2004,rightvote5,m710h,c(5:1)
tcmeg2004,secrel5,m710j,c(5:1)
tcmeg2004,travel5,m710g,c(5:1)
wvs_combo,beat10,f199,c(10:1)
wvs_combo,busiexecutive4,d078,c(1:4)
wvs_combo,childfull2,d019,"c(1,0)"
wvs_combo,education4,d060,c(1:4)
wvs_combo,education5,d071,c(5:1)
wvs_combo,goodmother5,d068,c(1:5)
wvs_combo,goodwife5,d069,c(1:5)
wvs_combo,havingwork5,d073,c(5:1)
wvs_combo,housewifefull4,d057,c(1:4)
wvs_combo,income4,d058,c(4:1)
wvs_combo,independence5,d072,c(5:1)
wvs_combo,islamclass5,f165,c(1:5)
wvs_combo,islamnumwife5,f166,c(5:1)
wvs_combo,job3a,c001,"c(1,3,2)"
wvs_combo,jobinde4,d063,c(4:1)
wvs_combo,moneyprob4,d066,c(1:4)
wvs_combo,numwife4a,d076,c(1:4)
wvs_combo,obey4,d077,c(1:4)
wvs_combo,polileader4,d059,c(1:4)
wvs_combo,preschoolwork4,d061,c(1:4)
wvs_combo,sparent3,d023,"c(0,2,1)"
wvs_combo,veil5a,d067,c(1:5)
wvs_combo,veil5b,f164,c(1:5)
wvs_combo,wantch4,d062,c(1:4)
wvs_combo,work4,d056,c(4:1)
wvs_combo,work5b,e213,c(1:5)
wvs4_swe,childfull2,v110,"c(1,0)"
wvs4_swe,education4,v119,c(1:4)
wvs4_swe,education5,iv85,c(5:1)
wvs4_swe,goodmother5,iv82,c(1:5)
wvs4_swe,goodwife5,iv83,c(1:5)
wvs4_swe,havingwork5,iv89,c(5:1)
wvs4_swe,housewifefull4,v116,c(1:4)
wvs4_swe,income4,v117,c(4:1)
wvs4_swe,independence5,iv88,c(5:1)
wvs4_swe,job3a,v78,c(1:3)
wvs4_swe,obey4,iv87,c(1:4)
wvs4_swe,polileader4,v118,c(1:4)
wvs4_swe,sparent3,v112,"c(2,3,1)"
wvs4_swe,work4,v115,c(4:1)
wvs7,beat10,q189,c(10:1)
wvs7,busiexecutive4,q31,c(1:4)
wvs7,education4,q30,c(1:4)
wvs7,housewifefull4,q32,c(1:4)
wvs7,job5,q33,c(1:5)
wvs7,polileader4,q29,c(1:4)
wvs7,preschoolwork4,q28,c(1:4)
jgss,marrihap4,q4wnmga,c(1:4)
jgss,jobinde4,q4wnjb2l,c(4:1)
jgss,suffjob4,q4wwjbia,c(1:4)
jgss,wifehelp4,q4wwhphh,c(1:4)
jgss,surname4,op4name,c(1:4)
kgss,jobinde5,fejobind,c(5:1)
kgss,familywork5a,famsuffr,c(1:5)
kgss,income5,twoincs,c(5:1)
kgss,tradroles5,hubbywrk,c(1:5)
kgss,preschoolwork5,kidsuffr,c(1:5)
kgss,wantch5,homekid,c(1:5)
kgss,recession7,sexrole4,c(7:1)
kgss,income5,hbbywk08,c(1:5)
kgss,housewifefull4,housewrk,c(1:5)
kgss,help7,sexrole1,c(7:1)
kgss,income7,sexrole2,c(7:1)
kgss,help7,sexrl108,c(7:1)
usgss,priest4,fepriest,c(4:1)
usgss,pmpr2,feclergy,c(2:1)
usgss,homecountry2,fehome,c(1:2)
usgss,emopoli2,fepol,c(1:2)
usgss,emopoli3,fepoly,"c(1,3,2)"
usgss,equalamend4,eratell,c(4:1)
usgss,workhard4,feless1,c(1:4)
usgss,biochild4,fekids1,c(1:4)
usgss,godchild4,fekids5,c(1:4)
usgss,wantch5,homekid,c(1:5)
usgss,fullpart3a,wrknokid,c(3:1)
usgss,fullpart3b,fewknokd,c(3:1)
usgss,earn2,fework,"c(2,1)"
usgss,president2,fepres,"c(2,1)"
usgss,tradroles4,fefam,c(1:4)
usgss,limjob2,feworkif,"c(2,1)"
usgss,trainjob2a,fightair,"c(2,1)"
usgss,trainjob2b,mechanic,"c(2,1)"
usgss,trainjob2c,nurse,"c(2,1)"
usgss,trainjob2d,typist,"c(2,1)"
usgss,trainjob2e,brass,"c(2,1)"
usgss,trainjob2f,fightlnd,"c(2,1)"
usgss,trainjob2g,transair,"c(2,1)"
usgss,trainjob2h,gunner,"c(2,1)"
usgss,trainjob2i,fightsea,"c(2,1)"
usgss,relation2,tradmod,"c(1,2)"
usgss,familywork5a,famsuffr,c(1:5)
usgss,happywork5,hapifwrk,c(5:1)
usgss,jobinde5,fejobind,c(5:1)
usgss,tradroles5,hubbywk1,c(1:5)
usgss,msww5,mrmom,c(1:5)
allbus,work4,fr01,c(4:1)
allbus,help4,fr02,c(1:4)
allbus,preschoolwork4,fr03a,c(1:4)
allbus,tradroles4,fr04a,c(1:4)
allbus,childbenwork4,fr05a,c(4:1)
allbus,job4a,fr06,c(1:4)
allbus,work4a,fr07,c(4:1)
allbus,equalroles4,fr08,c(4:1)
allbus,preschoolwork4,fr03b,c(1:4)
allbus,tradroles4,fr04b,c(1:4)
allbus,childbenwork4,fr05b,c(4:1)
allbus,fatherwork4b,fr09,c(4:1)
allbus,secondshift4,fr10,c(1:4)
allbus,fatherwork4a,fr11,c(1:4)
allbus,msww4,fr12,c(4:1)
pgss,tradroles4,q7d,c(4:1)
nsss_combo,jobpref5,affactw2,c(5:1)
nsss_combo,career5,wcarbad,c(1:5)
nsss_combo,earn5,wearnok,c(5:1)
nsss_combo,family5a,wdevfam,c(1:5)
nsss_combo,work5a,mumwkwrm ,c(5:1)
nsss_combo,familywork5a,famsufft,c(1:5)
nsss1989,career5,wcarbad,c(1:5)
nsss1989,preschoolwork4,pressuf,c(1:5)
nsss1989,earn5,wearnok,c(5:1)
nsss1989,family5a,wdevfam,c(1:5)
nsss1989,familywork5a,famsufft,c(1:5)
nsss1989,familywork5b,famhapwk,c(5:1)
nsss1989,tradroles5,wfhmfam,c(1:5)
nsss1989,housewifefull5,wffulfil,c(1:5)
nsss1989,income5,hsbwfwk,c(5:1)
nsss1989,jobinde5,wwkindep,c(5:1)
nsss1989,todller5,todndmo,c(1:5)
nsss1989,wantch5,wkhmkid,c(1:5)
nsss1989,wifejob5,wkpfnowh,c(5:1)
nsss1989,wifejob7,wkpfnowh,c(7:1)
nsss1989,work3a,wkpfgone,c(3:1)
nsss1989,work3a,wkshgone,c(3:1)
nsss1989,work3b,wkpfsch,c(3:1)
nsss1989,work3b,wkshsch,c(3:1)
nsss1989,work3c,wkpfpres,c(3:1)
nsss1989,work3c,wkshpres,c(3:1)
nsss1989,work3d,wkpfbefk,c(3:1)
nsss1989,work3d,wkshbefk,c(3:1)
nsss1989,work3e,wkpfhret,c(3:1)
nsss1989,work5a,mumwkwrm ,c(5:1)
nsss1993,career5,wcarbad3,c(1:5)
nsss1993,earn5,wearnok3,c(5:1)
nsss1993,family5a,wdevfa3,c(1:5)
nsss1993,familywork5a,famsuff3,c(1:5)
nsss1993,familywork5a,famsuf3x,c(1:5)
nsss1993,tradroles5,wfhmfam3,c(1:5)
nsss1993,preschoolwork5,pressuf3,c(1:5)
nsss1993,work5a,mumwkwr3,c(5:1)
nsss1994,work3a,p36q7d,c(3:1)
nsss1994,work3b,p36q7c,c(3:1)
nsss1994,work3c,p36q7b,c(3:1)
nsss1994,work3d,p36q7a,c(3:1)
aussa2003,preschoolwork5,v110,c(5:1)
aussa2003,reltchild5,v108,c(5:1)
aussa2005,preschoolwork5,v137,c(5:1)
bda2002,bornsex10,v72,c(0:9)
bda2002,household5a,v110,c(5:1)
ce_post1996,household5c,v118,c(5:1)
cnes2000,houshold4,c24gzene,c(4:1)
cnes2003,household5b,p26_g,c(5:1)
cnes2003,quota2,p38,"c(2,1)"
cnes2003,socialposition,p24_h,c(1:4)
hun_post1994,duty5,v150,c(5:1)
hun_post1994,worksuff5,v151,c(5:1)
hun_pre1990,boss5,v144,"c(1,5,2,4,3)"
hun_pre1990,council5,v142,"c(1,5,2,4,3)"
hun_pre1990,driver5,v141,"c(1,5,2,4,3)"
hun_pre1990,duty3,v149,"c(1,2,3)"
hun_pre1990,jury5,v143,"c(1,5,2,4,3)"
hun_pre1990,minister5,v147,"c(1,5,2,4,3)"
hun_pre1990,mp5,v145,"c(1,5,2,4,3)"
hun_pre1990,partyleader5,v148,"c(1,5,2,4,3)"
hun_pre1990,politicianbetter3,v153,"c(1,3,2)"
hun_pre1990,politicianpopular3,v151,"c(1,2,3)"
hun_pre1990,politics3,v150,"c(1,2,3)"
hun_pre1990,repre3,v64,"c(1,2,3)"
hun_pre1990,surgeon5,v146,"c(1,5,2,4,3)"
pnes1997,role5,sexrl052,c(1:5)
serbia2002,womenpolitics3,v147,c(3:1)
slovakia1999,advice4,v187,c(4:1)
slovakia1999,politics5a,v186,c(5:1)
slovakia1999,recruitment4,v27,c(1:4)
slovakia1999,respect4,v184,c(4:1)
slovenia1990,employ2,v54,"c(1,2)"
slovenia1996,politician5,v186,c(5:1)
slovenia1996,politics5b,v185,c(5:1)
slovenia1997,equalize5,v175,c(1:5)